District,weakest_group,weakest_score,strongest_score,severity_gap,female_literacy_pct,female_school_attendance_pct,pre_primary_attendance_pct
kodagu,Division,47.67110581064069,70.74140329954284,23.07029748890215,88.5,83.6,13.0
mandya,Division,61.31430868167202,82.63665594855306,21.32234726688103,78.3,67.7,15.5
chamarajanagar,Measurement,45.458957887223406,66.01284796573876,20.55389007851535,72.4,63.2,21.8
raichur,Measurement,39.73194823312532,60.05567803893726,20.323729805811944,54.3,55.3,15.5
chitradurga,Measurement,36.12639681307181,56.3924242935755,20.26602748050369,75.6,73.0,27.2
koppal,Measurement,44.63671823350522,64.38665212217374,19.74993388866852,59.8,63.9,29.6
chikkaballapura,Measurement,44.04198519597136,63.73923067588885,19.697245479917484,76.3,65.9,14.6
mysore,Measurement,45.567129629629626,65.25462962962962,19.687499999999996,78.9,72.4,14.1
gadag,Measurement,47.08731030210885,66.2344792634513,19.14716896134246,70.7,73.3,16.3
gulbarga,Measurement,39.44949584992373,56.99025375883996,17.540757908916234,68.2,65.0,19.5
dakshina kannada,Division,64.73608543848839,82.21400698295338,17.47792154446499,92.7,83.9,11.0
bidar,Place Value,45.81071358493034,62.159068611419976,16.348355026489635,73.8,68.2,7.1
davanagere,Division,45.00524324077873,61.20913691697442,16.20389367619569,76.0,74.9,18.1
bellary,Division,41.63008072510976,57.81286880989472,16.182788084784967,64.4,64.2,28.0
bellary,Measurement,45.34555214182293,61.36949535614648,16.023943214323552,64.4,64.2,28.0
hassan,Division,58.72082337805551,74.58800465600686,15.867181277951351,82.0,74.4,8.9
udupi,Division,67.42451154529307,83.22084073416222,15.796329188869151,90.3,82.0,3.2
kolar,Measurement,50.874845105328376,66.55266418835191,15.677819083023536,78.3,71.6,17.0
bangalore rural,Place Value,58.8076162730205,73.67946450247979,14.871848229459289,83.8,74.3,16.4
bagalkot,Place Value,59.24246465724193,74.10865119587444,14.866186538632512,69.7,67.3,7.1
ramanagara,Place Value,58.46883468834688,73.26106594399278,14.792231255645897,82.7,68.8,41.1
yadgir,Place Value,48.31988775868116,62.69028411083831,14.370396352157144,48.1,51.9,6.2
uttara kannada,Measurement,64.12817311693716,77.48647523928423,13.35830212234707,84.3,81.1,8.1
tumkur,Place Value,56.05064523983443,69.20704488272055,13.156399642886122,81.9,72.3,2.0
dharwad,Multiplication,62.362141568077,75.15039101664327,12.788249448566267,81.8,78.2,7.7
belgaum,Place Value,67.56696428571429,80.10416666666666,12.537202380952364,74.0,72.4,21.6
belgaum,Multiplication,63.377493528247285,75.63575453022689,12.258261001979603,74.0,72.4,21.6
tumkur,Division,68.3772411269667,80.02652762532016,11.649286498353462,81.9,72.3,2.0
haveri,Division,66.99060576611596,78.36734693877551,11.37674117265955,71.5,72.6,13.8
bijapur,Place Value,68.30218068535825,78.69937694704049,10.39719626168224,66.6,66.1,24.9
