District,weakest_group,weakest_score,strongest_score,severity_gap
kodagu,Division,47.67110581064069,70.74140329954284,23.07029748890215
mandya,Division,61.314308681672024,82.63665594855306,21.32234726688103
chamarajanagara,Measurement,45.458957887223406,66.01284796573876,20.55389007851535
raichur,Measurement,39.731948233125316,60.05567803893726,20.323729805811944
chitradurga,Measurement,36.12639681307181,56.3924242935755,20.266027480503695
koppal,Measurement,44.63671823350522,64.38665212217374,19.749933888668522
chikkaballapura,Measurement,44.041985195971364,63.73923067588885,19.697245479917484
mysuru,Measurement,45.567129629629626,65.25462962962962,19.687499999999993
gadag,Measurement,47.08731030210885,66.2344792634513,19.14716896134246
kalaburgi,Measurement,39.44949584992373,56.99025375883996,17.540757908916234
dakshina kannada,Division,64.73608543848839,82.21400698295338,17.47792154446499
bidar,Place Value,45.81071358493034,62.159068611419976,16.348355026489635
davanagere,Division,45.00524324077873,61.20913691697442,16.20389367619569
ballari,Division,41.63008072510976,57.812868809894724,16.182788084784967
vijayanagar,Measurement,45.34555214182293,61.36949535614648,16.023943214323552
hassan,Division,58.720823378055506,74.58800465600686,15.867181277951353
udupi,Division,67.42451154529307,83.22084073416222,15.796329188869151
kolar,Measurement,50.874845105328376,66.55266418835191,15.677819083023536
bengaluru rural,Place Value,58.8076162730205,73.67946450247979,14.871848229459289
bagalkot,Place Value,59.24246465724193,74.10865119587444,14.866186538632512
ramanagara,Place Value,58.46883468834688,73.26106594399278,14.792231255645895
yadagiri,Place Value,48.31988775868116,62.690284110838306,14.370396352157144
uttara kannada sirsi,Measurement,64.12817311693716,77.48647523928423,13.35830212234707
tumakuru madhugiri,Place Value,56.05064523983443,69.20704488272055,13.156399642886122
dharwad,Multiplication,62.362141568077,75.15039101664327,12.788249448566269
belagavi,Place Value,67.56696428571429,80.10416666666666,12.537202380952365
belagavi chikkodi,Multiplication,63.377493528247285,75.63575453022689,12.258261001979605
tumakuru,Division,68.3772411269667,80.02652762532016,11.649286498353462
haveri,Division,66.99060576611596,78.36734693877551,11.37674117265955
vijayapura,Place Value,68.30218068535825,78.69937694704049,10.39719626168224
